Datum;DeltaAnzahlVortag;DeltaGeheiltVortag;DeltaTotVortag;DeltaAktivVortag;DeltaTestGesamtVortag
26.08.2021 00:00:00;1403;813;2;588;422734
27.08.2021 00:00:00;1373;922;6;445;255447
28.08.2021 00:00:00;1344;941;7;396;326424
29.08.2021 00:00:00;1084;818;3;263;332283
30.08.2021 00:00:00;1283;806;2;475;230634
31.08.2021 00:00:00;1851;1139;3;709;274462
01.09.2021 00:00:00;1557;1096;4;457;282427
02.09.2021 00:00:00;1691;1148;7;536;411231
03.09.2021 00:00:00;1930;1184;5;741;264200
04.09.2021 00:00:00;1579;1137;8;434;342379
05.09.2021 00:00:00;1391;1088;8;295;375399
06.09.2021 00:00:00;1800;1158;3;639;338111
07.09.2021 00:00:00;2302;1194;8;1100;338557
08.09.2021 00:00:00;2167;1412;7;748;439775
09.09.2021 00:00:00;2336;1349;4;983;347969
10.09.2021 00:00:00;2243;1348;9;886;321630
11.09.2021 00:00:00;1835;1508;6;321;358111
12.09.2021 00:00:00;1389;1304;2;83;364949
13.09.2021 00:00:00;1846;1440;5;401;309931
14.09.2021 00:00:00;2602;1724;13;865;371093
15.09.2021 00:00:00;2317;1476;9;832;353847
16.09.2021 00:00:00;2208;1644;7;557;478750
17.09.2021 00:00:00;2026;1664;6;356;284257
18.09.2021 00:00:00;1428;1700;7;-279;367712
19.09.2021 00:00:00;1334;1652;14;-332;374322
20.09.2021 00:00:00;1377;1742;11;-376;279401
21.09.2021 00:00:00;2107;2285;9;-187;262426
22.09.2021 00:00:00;1839;1836;11;-8;447985
23.09.2021 00:00:00;1813;1864;10;-61;497356
24.09.2021 00:00:00;1822;1992;8;-178;304125
25.09.2021 00:00:00;1383;1903;9;-529;352913
26.09.2021 00:00:00;1382;1787;10;-415;350169
27.09.2021 00:00:00;1586;1639;5;-58;296446
28.09.2021 00:00:00;2618;2287;13;318;358279
29.09.2021 00:00:00;1926;1980;7;-61;359097
30.09.2021 00:00:00;1736;2113;6;-383;433868
01.10.2021 00:00:00;1808;1855;8;-55;290255
02.10.2021 00:00:00;1557;1777;12;-232;225990
03.10.2021 00:00:00;1373;1526;7;-160;408724
04.10.2021 00:00:00;1454;1674;7;-227;287120
05.10.2021 00:00:00;2682;2410;13;259;365396
06.10.2021 00:00:00;2037;1834;7;196;326599
07.10.2021 00:00:00;1852;2069;9;-226;433055
08.10.2021 00:00:00;1877;2070;6;-199;270111
09.10.2021 00:00:00;1583;1886;8;-311;287442
10.10.2021 00:00:00;1294;1668;8;-382;298259
11.10.2021 00:00:00;1595;1665;11;-81;236189
12.10.2021 00:00:00;2728;2198;12;518;351804
13.10.2021 00:00:00;2111;1660;6;445;329066
14.10.2021 00:00:00;2395;1820;10;565;427441
15.10.2021 00:00:00;2382;1962;7;413;280850
16.10.2021 00:00:00;2150;1731;16;403;321818
17.10.2021 00:00:00;2000;1786;15;199;298128
18.10.2021 00:00:00;2731;1732;6;993;248407
19.10.2021 00:00:00;3988;2312;9;1667;364890
20.10.2021 00:00:00;3625;1873;10;1742;335375
21.10.2021 00:00:00;3481;1830;11;1640;455165
22.10.2021 00:00:00;3709;2038;8;1663;284844
23.10.2021 00:00:00;3535;2065;11;1459;315989
24.10.2021 00:00:00;2800;1953;15;832;314239
25.10.2021 00:00:00;3452;2210;10;1232;245796
26.10.2021 00:00:00;4489;2889;16;1584;354029
27.10.2021 00:00:00;4316;2468;14;1834;268599
28.10.2021 00:00:00;5955;2569;8;3378;451995
29.10.2021 00:00:00;5989;2892;8;3089;312927
30.10.2021 00:00:00;5643;2837;14;2792;338420
31.10.2021 00:00:00;4807;2777;11;2019;340861
01.11.2021 00:00:00;5295;3243;17;2035;276500
02.11.2021 00:00:00;6593;3893;17;2683;306382
03.11.2021 00:00:00;8987;3344;21;5622;581327
04.11.2021 00:00:00;9817;3520;18;6279;550179
05.11.2021 00:00:00;9737;3993;25;5719;473302
06.11.2021 00:00:00;8150;3992;18;4140;414915
07.11.2021 00:00:00;8039;4272;15;3752;397268
08.11.2021 00:00:00;7778;4508;25;3245;380970
09.11.2021 00:00:00;12004;5532;26;6446;454958
10.11.2021 00:00:00;13281;5163;20;8098;346999
11.11.2021 00:00:00;10635;5267;41;5327;725954
12.11.2021 00:00:00;12705;5664;40;7001;445216
13.11.2021 00:00:00;11486;6473;42;4971;381534
14.11.2021 00:00:00;11255;6137;37;5081;323413
15.11.2021 00:00:00;11021;6756;34;4231;399798
16.11.2021 00:00:00;16552;7460;30;9062;464540
17.11.2021 00:00:00;15114;7897;43;7174;593434
18.11.2021 00:00:00;14993;8303;36;6654;553894
19.11.2021 00:00:00;14185;8669;40;5476;552269
20.11.2021 00:00:00;14199;9583;29;4587;430547
21.11.2021 00:00:00;11729;9099;43;2587;524203
22.11.2021 00:00:00;12049;9830;49;2170;354947
23.11.2021 00:00:00;14712;11849;44;2819;428955
24.11.2021 00:00:00;14711;11730;36;2945;368068
25.11.2021 00:00:00;12378;12655;36;-313;619654
26.11.2021 00:00:00;12312;12410;42;-140;606176
27.11.2021 00:00:00;9848;11424;34;-1610;346928
28.11.2021 00:00:00;8132;9598;32;-1498;268213
29.11.2021 00:00:00;7785;9503;30;-1748;285534
